City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Gazalkent,UZ,2020-06-25 02:26:22,41.56,69.77,80.6,28,0,11.41
239,Muscle Shoals,US,2020-06-25 02:26:22,34.74,-87.67,73.0,95,100,5.59
240,Noumea,NC,2020-06-25 02:26:22,-22.28,166.46,77.0,57,40,10.29
241,Klyuchi,RU,2020-06-25 02:26:22,52.27,79.17,67.87,67,68,5.99
242,North Bend,US,2020-06-25 02:26:22,43.41,-124.22,75.0,88,90,19.46
243,Kloulklubed,PW,2020-06-25 02:26:22,7.04,134.26,84.2,79,75,8.05
244,Chicama,PE,2020-06-25 02:26:22,-7.84,-79.15,62.98,81,34,6.51
245,Campo Formoso,BR,2020-06-25 02:26:22,-10.51,-40.32,67.05,91,97,10.56
246,Upington,ZA,2020-06-25 02:26:22,-28.45,21.26,51.8,43,0,9.17
247,Nadym,RU,2020-06-25 02:24:05,65.53,72.52,54.75,76,20,15.46
248,Rundu,NA,2020-06-25 02:26:22,-17.93,19.77,46.4,57,0,2.24
249,Inhambane,MZ,2020-06-25 02:26:22,-23.86,35.38,66.36,77,29,6.26
250,Urdoma,RU,2020-06-25 02:26:23,61.75,48.54,43.11,80,11,5.23
251,Dondukovskaya,RU,2020-06-25 02:26:23,44.88,40.36,65.08,94,100,3.8
252,Richards Bay,ZA,2020-06-25 02:26:23,-28.78,32.04,62.65,68,0,12.97
253,Naze,JP,2020-06-25 02:26:23,28.37,129.48,86.0,84,75,13.87
254,Jadu,LY,2020-06-25 02:26:23,31.95,12.03,64.71,67,0,10.47
255,Bam,IR,2020-06-25 02:26:23,29.11,58.36,83.71,15,0,11.61
256,Mana,GF,2020-06-25 02:26:23,5.66,-53.78,77.88,87,72,5.91
257,Linxia,CN,2020-06-25 02:26:23,35.6,103.21,70.48,35,44,3.83
258,Maltahohe,NA,2020-06-25 02:26:23,-24.83,16.98,46.96,51,0,5.17
259,Souillac,MU,2020-06-25 02:26:23,-20.52,57.52,69.8,94,75,14.99
260,Baie-Comeau,CA,2020-06-25 02:26:23,49.22,-68.15,59.0,100,90,3.36
261,Consolacion Del Sur,CU,2020-06-25 02:26:23,22.5,-83.51,79.79,80,98,3.51
262,Nyangao,TZ,2020-06-25 02:26:23,-10.33,39.28,65.71,86,2,1.74
263,Golubitskaya,RU,2020-06-25 02:26:23,45.32,37.28,64.4,93,75,4.47
264,Hami,CN,2020-06-25 02:26:23,42.8,93.45,87.44,14,97,8.41
265,Kirakira,SB,2020-06-25 02:26:24,-10.45,161.92,85.51,67,98,7.7
266,Presidencia Roque Saenz Pena,AR,2020-06-25 02:26:24,-26.79,-60.44,62.01,86,100,5.99
267,Homer,US,2020-06-25 02:26:24,59.64,-151.55,57.2,54,75,3.36
268,La Ronge,CA,2020-06-25 02:23:40,55.1,-105.28,64.4,88,75,2.3
269,Mayo,US,2020-06-25 02:26:24,38.89,-76.51,77.0,57,1,6.87
270,Shangqiu,CN,2020-06-25 02:26:24,34.45,115.65,90.0,61,0,7.27
271,Hirado,JP,2020-06-25 02:24:04,33.36,129.55,84.2,79,75,16.11
272,Voyvozh,RU,2020-06-25 02:26:24,62.89,54.96,43.02,84,94,7.11
273,Sorland,NO,2020-06-25 02:26:24,67.67,12.69,54.91,93,100,24.63
274,Codrington,AU,2020-06-25 02:26:24,-38.27,141.97,56.26,77,49,15.88
275,Trincomalee,LK,2020-06-25 02:26:24,8.57,81.23,81.84,77,100,11.1
276,Nur,PL,2020-06-25 02:26:24,52.67,22.32,61.66,94,100,7.45
277,Provideniya,RU,2020-06-25 02:26:24,64.38,-173.3,42.8,64,75,13.42
278,Bundaberg,AU,2020-06-25 02:26:24,-24.85,152.35,70.0,39,0,8.05
279,Veraval,IN,2020-06-25 02:26:24,20.9,70.37,85.66,73,34,7.52
280,Champerico,GT,2020-06-25 02:26:24,14.3,-91.92,83.19,71,100,1.23
281,Half Moon Bay,US,2020-06-25 02:21:50,37.46,-122.43,73.4,82,1,3.36
282,Bikin,RU,2020-06-25 02:26:25,46.82,134.26,58.75,96,100,5.57
283,Buraydah,SA,2020-06-25 02:26:25,26.33,43.98,80.6,22,0,6.93
284,Tuatapere,NZ,2020-06-25 02:26:25,-46.13,167.68,47.75,74,82,5.79
285,Cidreira,BR,2020-06-25 02:26:25,-30.18,-50.21,67.53,75,15,4.74
286,Ciudad Bolivar,VE,2020-06-25 02:26:25,8.12,-63.55,77.32,84,100,9.57
287,Morada Nova,BR,2020-06-25 02:26:25,-5.11,-38.37,75.74,72,93,6.33
288,Tiarei,PF,2020-06-25 02:26:25,-17.53,-149.33,80.6,74,75,4.7
289,Shirokiy,RU,2020-06-25 02:26:25,49.76,129.52,58.98,93,100,6.44
290,Solnechnyy,RU,2020-06-25 02:26:25,50.72,136.63,52.39,91,100,4.12
291,Saba,HN,2020-06-25 02:26:25,15.47,-86.25,73.15,72,24,3.89
292,Esik,KZ,2020-06-25 02:26:25,43.36,77.45,69.8,37,40,4.47
293,Kisangani,CD,2020-06-25 02:26:25,0.52,25.2,72.43,87,71,1.86
294,Goderich,CA,2020-06-25 02:26:25,43.75,-81.72,63.0,74,100,8.7
295,Nova Olimpia,BR,2020-06-25 02:26:25,-14.8,-57.29,73.06,59,4,4.61
296,Zweibrucken,DE,2020-06-25 02:26:25,49.25,7.37,63.0,63,0,9.17
297,Sao Filipe,CV,2020-06-25 02:26:26,14.9,-24.5,75.61,84,1,7.58
298,Tallahassee,US,2020-06-25 02:21:55,30.44,-84.28,78.8,83,20,3.36
299,Ancud,CL,2020-06-25 02:26:26,-41.87,-73.82,39.99,100,75,3.36
300,Balabac,PH,2020-06-25 02:26:26,7.99,117.06,86.88,65,100,6.6
301,Nome,US,2020-06-25 02:23:35,64.5,-165.41,50.0,53,90,11.41
