City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
269,Kavaratti,IN,10.57,72.64,83.82,74,100,18.3,overcast clouds,0.0,0.0
270,Vossevangen,NO,60.62,6.42,79.0,47,4,8.41,clear sky,0.0,0.0
271,Cartagena,CO,10.4,-75.51,87.8,70,40,11.41,scattered clouds,0.0,0.0
272,Bar Harbor,US,44.39,-68.2,78.8,47,1,11.41,clear sky,0.0,0.0
273,Sao Joaquim,BR,-28.29,-49.93,39.67,100,100,3.18,light rain,0.84,0.0
274,Katangli,RU,51.71,143.23,46.09,96,91,1.59,overcast clouds,0.0,0.0
275,Alofi,NU,-19.06,-169.92,73.4,88,95,4.7,overcast clouds,0.0,0.0
276,Lubao,PH,14.92,120.55,78.8,83,75,2.24,broken clouds,0.0,0.0
277,Nagorsk,RU,59.32,50.81,50.52,94,35,9.95,scattered clouds,0.0,0.0
278,Yar-Sale,RU,66.83,70.83,46.78,74,0,9.66,clear sky,0.0,0.0
279,Lanzhou,CN,36.06,103.79,60.8,72,100,4.47,overcast clouds,0.0,0.0
280,Marzuq,YE,14.4,46.47,84.33,36,100,3.49,overcast clouds,0.0,0.0
281,Henties Bay,NA,-22.12,14.28,55.0,87,0,9.93,clear sky,0.0,0.0
282,Takhatgarh,IN,25.33,73.0,89.96,53,0,13.04,clear sky,0.0,0.0
283,Faya,SA,18.39,42.45,82.4,13,96,11.41,overcast clouds,0.0,0.0
284,Alice Springs,AU,-23.7,133.88,33.8,64,0,6.08,clear sky,0.0,0.0
285,Tongliao,CN,43.61,122.27,67.1,54,0,4.9,clear sky,0.0,0.0
286,Praia,CV,14.92,-23.51,82.4,65,20,19.46,few clouds,0.0,0.0
287,Winsum,NL,53.33,6.52,72.0,84,25,6.87,light rain,0.16,0.0
288,Meoqui,MX,28.28,-105.48,93.2,26,75,12.75,broken clouds,0.0,0.0
289,Lwowek Slaski,PL,51.11,15.59,70.0,88,34,6.93,scattered clouds,0.0,0.0
290,Aldan,RU,58.6,125.39,56.91,79,100,3.87,overcast clouds,0.0,0.0
291,Polis,CY,35.04,32.43,75.2,83,20,1.12,few clouds,0.0,0.0
292,Nouadhibou,MR,20.93,-17.03,71.6,73,82,24.16,sand,0.0,0.0
293,Ahipara,NZ,-35.17,173.17,55.67,76,6,13.2,clear sky,0.0,0.0
294,Bandarbeyla,SO,9.49,50.81,80.15,74,98,29.73,overcast clouds,0.0,0.0
295,Ratnagiri,IN,16.98,73.3,82.53,80,100,3.22,overcast clouds,0.0,0.0
296,Igarka,RU,67.47,86.58,58.87,82,100,6.73,overcast clouds,0.0,0.0
297,San Patricio,MX,19.22,-104.7,91.4,59,75,11.41,broken clouds,0.0,0.0
298,Los Llanos De Aridane,ES,28.66,-17.92,73.4,78,20,17.22,few clouds,0.0,0.0
299,Port Keats,AU,-14.25,129.55,67.69,42,0,10.22,clear sky,0.0,0.0
